authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Randall Heskett, Brian Irwin","Bible as a Human Witness to Divine Revelation: Hearing the Word of God Through Historically Dissimilar Traditions","","Old Testament (OT), Exegesis, Bible","2011-11-21T19:22:28+11:00","","9780567028518","isbn:9780567028518,google:tS1ds_kttggC,goodreads:8098081,amazon:0567028518"
"Fiona Black","The Artifice of Love Grotesque Bodies in the Song of Songs","","Old Testament (OT), Wisdom Literature, Poetry, Exegesis, Bible","2007-04-07T18:00:00+11:00","T&T Clark","9780826469854","goodreads:2613972,amazon:082646985X,isbn:9780826469854,google:DlPUAwAAQBAJ"
"Milton Eng","The Days of Our Years A Lexical Semantic Study of the Life Cycle in Biblical Israel","","Bible, Lexicography, Semantics, Old Testament (OT), Biblical Hebrew","0101-01-01T11:00:00+11:00","","9780567025036","isbn:9780567025036"
"Jonathan Y. Rowe","Sons or Lovers","","Biblical Meditations, Old Testament (OT), Exegesis, Bible","2012-12-30T19:34:35+11:00","","9780567306166","isbn:9780567306166,amazon:056730616X,goodreads:23045910,google:PEHl6eUtc3MC"
"Niskanen, Paul.","The Human and the Divine in History","","Biblical Studies","2004-08-26T15:12:01+11:00","","9780567330376","goodreads:1642024,google:G0YFSrClQOkC,isbn:9780567330376,amazon:056708213X"
"Magne Sæbø","On the Way to Canon","","Bible, Canonical Criticism, Old Testament (OT)","2004-08-26T15:12:01+11:00","","",""
"Patrick T. Cronauer","Stories about Naboth the Jezreelite A Source, Composition & Redaction Investigation of 1 Kings 21 & Passages in 2 Kings","","Bible, Exegesis, Old Testament (OT), Historical Books","2010-07-14T07:55:41+11:00","","9780567029409","google:7dnYAAAAMAAJ,goodreads:9854773,isbn:9780567029409,amazon:0567029409"
"Jonathan Fenby","Alliance","","History, WW2","0101-01-01T11:00:00+11:00","","9781471142970","isbn:9781471142970,google:UwiFBAAAQBAJ"
"Hughes, Jeremy.","Secrets of the Times : Myth and History in Biblical Chronology","","Old Testament (OT), Comparitive Criticism, Historical Criticism","2004-08-26T15:12:01+11:00","","9780567629302","isbn:9780567629302,goodreads:16062129,google:vPg2cvQLwHAC,amazon:0567629309"
"Philipp Strazny","Encyclopedia of Lingguistics: Volume 1","","Linguistics, Reference","2007-12-19T10:34:22+11:00","","9781579584504","google:QQAjAQAAIAAJ,goodreads:2971644,isbn:9781579584504,amazon:1579583911"
"Eric M. Meyers","The Oxford Encyclopedia of Archaeology in the Near East Volume 1","","Reference, ANE, Ancient Near East","0101-01-01T11:00:00+11:00","","9780195065121","amazon:0195065123,isbn:9780195065121"
"Tania Notarius","The Verb in Archaic Biblical Poetry: A Discursive, Typological, and Historical Investigation of the Tense System","","Linguistics, Semantics, Reference, Hebrew, Bible, Biblical Hebrew, Language","2013-07-15T15:40:44+11:00","BRILL","9789004253360","amazon:900425336X,google:4Z3JtAEACAAJ,isbn:9789004253360,goodreads:18102629"
"Rijksuniversiteit Te Groningen. Instituut Voor Semitistiek En Archeologie van Het Nabije Oosten","General Linguistics and the Teaching of Dead Hamito-Semitic Languages","","Literary Criticism, Architecture, Arabic","1978-07-15T15:41:38+11:00","BRILL","9789004058064","amazon:9004058060,google:8MMeAAAAIAAJ,isbn:9789004058064"
"Everett Ferguson","ENCYCLOPEDIA OF EARLY CHRISTIANITY","","Church History, Early Church History, Reference","2010-04-01T15:17:04+11:00","","9781138138100","amazon:113813810X,isbn:9781138138100,google:w7e9jgEACAAJ,goodreads:28871245"
"Christopher Shields","The Blackwell Guide to Ancient Philosophy","","Philosophy, Ancient Philosophy, Greek Philosophy","0101-01-01T11:00:00+11:00","","9780631222156","goodreads:2239180,isbn:9780631222156,amazon:0631222154"
"Paul Erdkamp","A Companion to the Roman Army","","History, Ancient, Companion, Roman","2007-03-12T11:00:00+11:00","Wiley","9781405121538","amazon:1444339214,google:hR73TNL7YMAC,isbn:9781405121538"
"John Marincola","A Companion to Greek and Roman Historiography","","Ancient, Ancient Greece, Companion, History, Literary Criticism, Ancient History, Greek History, Roman History","2008-01-29T16:15:51+11:00","Wiley","9781405102162","isbn:9781405102162,amazon:1405102160,google:vCNVjgEACAAJ"
"Daniel C. Snell","A Companion to the Ancient Near East","","Ancient, Middle East, Companion, Ancient Near East, ANE","2005-01-28T16:15:49+11:00","Wiley","9780631232933","google:4ygQngEACAAJ,isbn:9780631232933,amazon:1119362466"
"Konrad H. Kinzl","A Companion to the Classical Greek World","","History, Ancient, Companion, Ancient Greece, Ancient History, Greek History","2006-12-22T16:15:45+11:00","Wiley","9780631230144","amazon:1444334123,google:d_-eTmpu4FMC,isbn:9780631230144"
"David S. Potter","A Companion to the Roman Empire","","History, Ancient, Companion, Roman","2006-05-22T16:16:11+11:00","Wiley","9780631226444","isbn:9780631226444,google:xuekmwMwiBgC"
"Andrew Erskine","A Companion to Ancient History","","Ancient History, Ancient, Companion","2009-04-27T16:16:05+11:00","Wiley","9781405131506","amazon:1118451368,isbn:9781405131506,google:wXdTNQEACAAJ"
"Leo G. Perdue","The Blackwell Companion to the Hebrew Bible","","Judaism, Exegesis, Bible, Biblical Hebrew, Linguistics, Companion, Old Testament (OT)","2008-09-28T02:56:13+11:00","","9780631210719","goodreads:8211203,amazon:1405127201,isbn:9780631210719,google:41_0okLzQJkC"
"Alister E. McGrath & Darren C. Marks","The Blackwell Companion to Protestantism","","Reformation History, Reformed Theology, Church History, Companion, Theology, Bible","2008-05-26T03:38:25+11:00","","9780631232780","isbn:9780631232780,google:2H0LCSVcA6kC,goodreads:2220287,amazon:1405157461"
"Sara Ahbel-Rappe & Rachana Kamtekar","A Companion to Socrates","","Ancient, Ancient Greece, Companion, Philosophy, Ancient Philosophy, Greek Philosophy, Ancient History, Greek History","2006-01-30T16:14:58+11:00","Wiley","9781405108638","google:UoKHkzE1sr4C,isbn:9781405108638"
"Rodney S. Sadler Jr.","Can a Cushite Change His Skin?: An Examination of Race, Ethnicity, and Othering in the Hebrew Bible","","Exegesis, Bible, Biblical Hebrew, Old Testament (OT)","2009-05-02T11:00:00+11:00","Bloomsbury T&T Clark","9780567027658","amazon:0567027651,google:7WQYAAAAQBAJ,isbn:9780567027658,goodreads:6228303"
"Min, Kyung-Jin.","The Levitical Authorship of Ezra-Nehemiah","","Biblical Studies","2004-08-26T15:12:01+11:00","","9780567632722","amazon:0567632725,isbn:9780567632722,google:RcB9XepTzRMC,goodreads:21496194"
"Harvey, John E.","Retelling the Torah : the Deuteronomistic Historian's Use of Tetrateuchal Narratives","","Bible, Old Testament (OT), Torah, Deuteronomic History, Biblical History, Narrative Criticism","2004-08-26T15:12:01+11:00","","9780567080950","amazon:0567080951,isbn:9780567080950,goodreads:3820221"
"H. B. Huffmon","Inspired Speech Prophecy in the Ancient Near East Essays in Honor of Herbert B. Huffmon","","Old Testament (OT), Ancient Near East, ANE, Bible, Exegesis","2004-08-26T15:12:01+11:00","","9780826466563","amazon:0826466567,goodreads:402621,isbn:9780826466563,google:PMXYAAAAMAAJ"
"Mary E. Shields","Circumscribing the Prostitute The Rhetoric of Intertextuality, Metaphor & Gender in Jeremiah 3. 1-4. 4","","Bible, Old Testament (OT), Rhetorical Criticism, Jeremiah","2011-01-18T17:33:30+11:00","","",""
"Thomas L. Thompson","Jerusalem in Ancient History & Tradition","","Ancient History, Israelite History, Jerusalem","2011-01-18T10:44:04+11:00","","9780567083609","isbn:9780567083609,amazon:0567083608,goodreads:2909075"
"Barbara Green","How Are the Mighty Fallen A Dialogical Study of King Saul in 1 Samuel","","Biblical Studies","2010-07-14T04:34:29+11:00","","9780826462213","google:h2OizgEACAAJ,amazon:0826462219,goodreads:4237015,isbn:9780826462213"
"Risa Levitt Kohn","A New Heart & a New Soul Ezekiel, the Exile & the Torah","","Bible, Torah, Exile, Ezekiel, Prophets","2011-01-17T07:36:30+11:00","","9780567022332","goodreads:2601966,isbn:9780567022332,amazon:0567022331"
"Solvang, Elna K.","Woman's Place Is in the House : Royal Women of Judah and Their Involvement in the House of David","","Bible, Feminism, Old Testament (OT), Gender Studies","2004-08-26T15:12:01+11:00","","9781281803160","isbn:9781281803160,goodreads:16886315,amazon:1281803162"
"Gary D. Salyer","Vain Rhetoric: Private Insight and Public Debate in Ecclesiastes","","Biblical Studies","2010-03-16T00:39:30+11:00","","9781841271811","google:QHeizgEACAAJ,amazon:1841271810,isbn:9781841271811,goodreads:9892788"
"Andrew G. Shead","The Open Book & the Sealed Book Jeremiah 32 in its Hebrew & Greek Recensions","","Bible, Old Testament (OT), Jeremiah","2011-01-16T19:26:37+11:00","","9781841272740","google:tqWizgEACAAJ,isbn:9781841272740,goodreads:4599606,amazon:1841272744"
"J. Andrew Dearman, M. Patrick Graham","The Land that I Will Show You Essays on the History & Archaeology of the Ancient Near East","","Bible, Archaeology, Biblical History, Old Testament (OT), Essays, Ancient Near East, ANE","2011-01-16T04:39:56+11:00","","",""
"Joyce Louise Rilett Wood, Joyce Rilett Wood","Amos in Song and Book Culture","","Biblical Studies","2004-08-26T15:12:01+11:00","","9780567332363","goodreads:22501495,google:9VavAwAAQBAJ,isbn:9780567332363,amazon:0567332365"
"David J. A. Clines","On the Way to the Postmodern Old Testament Essays, 1967-1998. Volume I","","Bible, Exegesis, Modern, Old Testament (OT), Postmodernism","0101-01-01T11:00:00+11:00","","9781850759010","goodreads:2693624,amazon:1850759014,isbn:9781850759010,google:K8nYAAAAMAAJ"
"M. Patrick Graham & Steven L. McKenzie","The Chronicler as Author: Studies in Text and Texture","","Language","2009-04-22T10:27:05+11:00","","9781841270579","isbn:9781841270579,amazon:1841270571,google:lm6tAwAAQBAJ,goodreads:1669803"
"Donald F. Murray","Divine Prerogative & Royal Pretension","","Bible, Old Testament (OT), Messiah, Theology, Monarchy","2011-01-13T03:26:21+11:00","","9781850759300","isbn:9781850759300,goodreads:6144795,amazon:1850759308"
"Schramm","The Opponents of Third Isaiah - Reconstructing the Cultic History","","Old Testament (OT), Bible, Isaiah","2010-01-24T03:18:47+11:00","","9780567163417","isbn:9780567163417,google:Yv2m89HTLMkC"
"J. Cheryl Exum","Plotted, Shot, and Painted: Cultural Representations of Biblical Women (JSOT Supplement)esentations of Biblical Women","","Bible, Gender Studies, Old Testament (OT)","2004-08-26T15:12:01+11:00","","9781850757788","isbn:9781850757788,amazon:185075778X,goodreads:16256856"
"Patricia Dutcher-Walls","Narrative Art, Political Rhetoric The Case of Athalia & Joash","","Old Testament (OT), Bible, Narrative Criticism, Rhetorical Criticism","2010-12-06T03:32:05+11:00","","",""
"Heather A. McKay","Of Prophets' Visions and the Wisdom of Sages: Essays in Honour of R. Norman Whybray on His Seventieth Birthday","","Bible, Old Testament (OT), Essays","1997-01-02T11:00:00+11:00","UNKNO","9781850754237","google:m3ytAwAAQBAJ,goodreads:394412,isbn:9781850754237,amazon:1850754233"
"Henning Graf Reventlow","Justice and Righteousness: Biblical Themes and Their Influence","","Old Testament (OT), Theology, Bible, Exegesis","2009-11-02T11:00:00+11:00","Sheffield Academic Press","9780567212078","amazon:0567212076,isbn:9780567212078,google:yq1JPgAACAAJ,goodreads:13732299"
"Diana Vikander Edelman","Fabric of History Text, Artifact & Israel's Past","","Old Testament (OT), Biblical History, Ancient Israel","2011-01-08T03:39:54+11:00","","9781441104076","isbn:9781441104076,google:Efk-PgAACAAJ,amazon:1441104070,goodreads:7688202"
"Baruch Halpern","Law and Ideology in Monarchic Israel","","Bible, Old Testament (OT), Torah, Theology","2009-11-02T11:00:00+11:00","Sheffield Academic Press","9780567538604","google:9EdkPgAACAAJ,isbn:9780567538604,goodreads:7685814,amazon:0567538605"
"Louis Jacobs, Dan Cohn-Sherbok","A Traditional Quest","","Old Testament (OT)","2004-08-26T15:12:01+11:00","","9780567477842","isbn:9780567477842,amazon:0567477843,google:rQJ9PgAACAAJ,goodreads:9941609"
"Yehuda T. Radday & Athalya Brenner","On Humor & the Comic in the Hebrew Bible","","Bible, Biblical Hebrew, Humour, Old Testament (OT)","2010-03-13T08:19:40+11:00","","9781850757016","isbn:9781850757016,google:-4OtAwAAQBAJ,amazon:1850757011,goodreads:3352117"
"Thomas L. Thompson","The Origin Tradition of Ancient Israel I The Literary Formation of Genesis & Exodus 1-23","","Christianity, Old Testament (OT), Bible","2011-01-05T20:45:17+11:00","","9781850750833","isbn:9781850750833,amazon:1850750831"
"J. W. Rogerson","Theory and Practice in Old Testament Ethics","","Ethics, Old Testament (OT)","2004-08-26T15:12:01+11:00","","9780826471659","amazon:082647165X,isbn:9780826471659,google:kFOtAwAAQBAJ,goodreads:2837503"
"Craig C. Broyles","The Conflict of Faith & Experience in the Psalms A Form & Theological Study (JSOT Supplement Series 5","","Bible, Old Testament (OT), Form Criticism, Theology, Psalms, Wisdom Literature, old testament theology","2010-11-30T05:15:52+11:00","","9781850750536","amazon:185075053X,isbn:9781850750536,google:Am6tAwAAQBAJ,goodreads:9969181"
"Michael D. Goulder","Song of Fourteen Songs","","Old Testament (OT)","2004-08-26T15:12:01+11:00","","9780905774879","google:WlqtAwAAQBAJ,isbn:9780905774879,goodreads:15336406,amazon:0905774876"
"Othmar Keel","Goddesses and Trees, New Moon and Yahweh: Ancient Near Eastern Art and the Hebrew Bible","","Ancient Near East, ANE, Bible, Old Testament (OT), Polytheism, Symbolism, Trees","1998-07-15T15:45:52+11:00","Sheffield Academic Press","9781850759157","isbn:9781850759157,goodreads:6868374,google:hnjXAAAAMAAJ,amazon:1850759154"
"Nasuti, Harry Peter","Defining the sacred songs genre, tradition & the post-critical interpretation of the Psalms","","Bible, Psalms, Wisdom Literature, Literary Criticism, Postmodernism","0101-01-01T11:00:00+11:00","","9780567013446","isbn:9780567013446,amazon:0567013448"
"K. Lawson Younger","Ancient Conquest Accounts: A Study in Ancient Near Eastern and Biblical History Writing","","Old Testament (OT), Bible, Ancient Near East, ANE, Historical Criticism","0101-01-01T11:00:00+11:00","","9781850752523","isbn:9781850752523,amazon:1850752524,google:FXStAwAAQBAJ,goodreads:11411780"
"Jobling, David.","The Sense of Biblical Narrative","","Bible, Old Testament (OT), Narrative Criticism, Literary Criticism, Biblical Hebrew","2004-08-26T15:12:01+11:00","","9781850750109","isbn:9781850750109,amazon:1850750106,goodreads:11618581,google:IWytAwAAQBAJ"
"Francis G. H. Pang","Revisiting Aspect and Aktionsart: A Corpus Approach to Koine Greek Event Typology","","Linguistics, Syntax, Koine Greek","2016-07-15T16:16:41+11:00","BRILL","9789004310872","isbn:9789004310872,google:8_pLjwEACAAJ,goodreads:27795305,amazon:9004310878"
"Stanley E. Porter & Gregory P. Fewster & Christopher D. Land","Modeling Biblical Language: Selected Papers From the McMaster Divinity College Linguistics Circle","","Bible, Linguistics, Biblical Hebrew, New Testament (NT), Exegesis","2016-07-15T15:44:44+11:00","BRILL","9789004309265","goodreads:27795284,amazon:9004309268,isbn:9789004309265,google:NxS1jgEACAAJ"
"Adrian T. Smith","The Representation of Speech Events in Chariton's Callirhoe and the Acts of the Apostles","","Language, Linguistics, Speech Act Theory, Acts, Bible, New Testament (NT)","2014-07-15T16:16:34+11:00","BRILL","9789004273207","goodreads:21452913,isbn:9789004273207,amazon:9004273204,google:4htHoAEACAAJ"
"Lauren Iu Mo & Laurentiu Florentin Mot","Morphological and Syntactical Irregularities in the Book of Revelation: A Greek Hypothesis","","Koine Greek, Linguistics, Morphology, Syntax, New Testament (NT), Exegesis","2015-07-15T16:16:31+11:00","BRILL","9789004290587","isbn:9789004290587,google:JT3hrQEACAAJ,amazon:9004290583,goodreads:29334595"
"Jae Hyun Lee","Paul's Gospel in Romans","","Bible, New Testament (NT), Paul, New Testament Theology, Romans, Epistle, Gospel, Epsitle","0101-01-01T11:00:00+11:00","","9004179631","isbn:9004179631"
"Michele Zappavigna","Tacit Knowledge and Spoken Discourse","","Linguistics, Semantics, Language","2013-04-02T10:17:19+11:00","A&C Black","9781441128409","isbn:9781441128409,google:MedLAQAAQBAJ"
"Stanley E. Porter & Thomas H.Olbricht","The Rhetorical Analysis of Scripture","","Bible, Rhetorical Criticism, Essays","2011-02-02T21:14:47+11:00","","9781283200516","amazon:1283200511,isbn:9781283200516,goodreads:16976347"
"W.P. Stephens","The Bible, the Reformation and the Church","","Bible, Reformation History, Reformed Theology, Theology","2011-01-23T04:37:45+11:00","","9781850755029","google:-LjYAAAAMAAJ,amazon:1850755027,isbn:9781850755029,goodreads:311028"
"Thomas H. Olbricht","Rhetoric, Scripture, and Theology","","Bible, Exegesis, Theology, Rhetorical Criticism","2011-02-02T18:56:55+11:00","","9781850756071","goodreads:2157652,google:k-LUAwAAQBAJ,isbn:9781850756071,amazon:1850756074"
"Marion C. Moeser, osf","The Anecdote in Mark, the Classical World and the Rabbis","","Bible, Gospel of Mark, New Testament (NT), Literary Criticism, Gospel, Historical Criticism","2011-01-29T06:40:32+11:00","","9780826460592","amazon:0826460593,isbn:9780826460592"
"Raymond Pickett","The Cross in Corinth","","New Testament (NT), Old Testament (OT)","2011-02-02T22:01:10+11:00","","9781850756637","google:BeTUAwAAQBAJ,goodreads:2128760,amazon:1850756635,isbn:9781850756637"
"Roth, S. John","The Blind, the Lame, and the Poor","","Biblical Studies, New Testament (NT)","2011-02-01T04:55:12+11:00","","9780567577092","amazon:0567577090,google:sAuaCgAAQBAJ,isbn:9780567577092,goodreads:18312007"
"Cunningham, Scott","Through Many Tribulations","","Biblical Studies, New Testament (NT)","2011-02-02T22:07:53+11:00","","9781850756613","isbn:9781850756613,goodreads:180927,amazon:1850756619,google:Ds1NQSi8qQYC"
